# Mass   time       Teff     L/Ls     g       R/Rs    Log(Li/Li0)   logTc   logROc    Mrad   Rrad   k2conv   k2rad  
  0.2    5.693823   3220.0   -0.539   3.262   1.731   0.0           5.98    -0.4614   0.0    0.0    0.44     0.0    
  0.2    5.703383   3220.0   -0.54    3.264   1.728   0.0           5.981   -0.4594   0.0    0.0    0.44     0.0    
  0.2    5.712525   3220.0   -0.541   3.265   1.725   0.0           5.981   -0.4574   0.0    0.0    0.4401   0.0    
  0.2    5.721278   3220.0   -0.543   3.266   1.722   0.0           5.982   -0.4554   0.0    0.0    0.4401   0.0    
  0.2    5.729665   3220.0   -0.544   3.268   1.719   0.0           5.983   -0.4534   0.0    0.0    0.4402   0.0    
  0.2    5.745433   3220.0   -0.547   3.271   1.714   0.0           5.984   -0.4494   0.0    0.0    0.4402   0.0    
  0.2    5.752852   3221.0   -0.548   3.272   1.711   0.0           5.985   -0.4475   0.0    0.0    0.4403   0.0    
  0.2    5.759986   3221.0   -0.549   3.273   1.708   0.0           5.985   -0.4455   0.0    0.0    0.4403   0.0    
  0.2    5.773459   3221.0   -0.552   3.276   1.703   0.0           5.987   -0.4416   0.0    0.0    0.4404   0.0    
  0.2    5.779826   3221.0   -0.553   3.278   1.7     0.0           5.987   -0.4396   0.0    0.0    0.4404   0.0    
  0.2    5.791887   3221.0   -0.556   3.28    1.695   0.0           5.989   -0.4358   0.0    0.0    0.4405   0.0    
  0.2    5.803124   3222.0   -0.558   3.283   1.69    0.0           5.99    -0.432    0.0    0.0    0.4406   0.0    
  0.2    5.813617   3222.0   -0.561   3.286   1.684   0.0           5.991   -0.4282   0.0    0.0    0.4406   0.0    
  0.2    5.823434   3222.0   -0.563   3.288   1.679   0.0           5.992   -0.4244   0.0    0.0    0.4407   0.0    
  0.2    5.832638   3222.0   -0.566   3.291   1.674   0.0           5.994   -0.4207   0.0    0.0    0.4408   0.0    
