# Mass   time       Teff     L/Ls     g       R/Rs    Log(Li/Li0)   logTc   logROc    Mrad     Rrad      k2conv   k2rad     
  0.8    5.693354   4221.0   0.356    3.44    2.821   0.0           6.348   -0.5124   0.0      0.0       0.4473   0.0       
  0.8    5.700047   4221.0   0.351    3.445   2.805   0.0           6.35    -0.5054   0.0      0.0       0.4474   0.0       
  0.8    5.71347    4220.0   0.341    3.454   2.774   0.0           6.354   -0.4913   0.0      0.0       0.4475   0.0       
  0.8    5.720197   4219.0   0.336    3.459   2.759   0.0           6.357   -0.4843   0.0      0.0       0.4476   0.0       
  0.8    5.733688   4218.0   0.326    3.469   2.729   0.0           6.362   -0.4703   0.0      0.0       0.4477   0.0       
  0.8    5.740448   4217.0   0.321    3.474   2.714   0.0           6.364   -0.4633   0.0      0.0       0.4477   0.0       
  0.8    5.754003   4216.0   0.311    3.483   2.684   0.0           6.369   -0.4492   0.0      0.0       0.4478   0.0       
  0.8    5.760795   4216.0   0.306    3.488   2.669   0.0           6.371   -0.4422   0.0      0.0       0.4479   0.0       
  0.8    5.774407   4214.0   0.296    3.498   2.64    0.0           6.375   -0.4282   0.0      0.0       0.448    0.0       
  0.8    5.78123    4214.0   0.291    3.502   2.625   0.0           6.378   -0.4211   0.0      0.0       0.448    0.0       
  0.8    5.7949     4212.0   0.281    3.512   2.596   0.0           6.383   -0.4071   0.0      0.0       0.4481   0.0       
  0.8    5.80175    4212.0   0.276    3.517   2.582   0.0           6.385   -0.4001   0.0      0.0       0.4482   0.0       
  0.8    5.815473   4211.0   0.265    3.526   2.554   0.0           6.39    -0.3861   0.0      0.0       0.4483   0.0       
  0.8    5.822349   4210.0   0.26     3.531   2.54    0.0           6.392   -0.379    0.0      0.0       0.4484   0.0       
  0.8    5.829232   4209.0   0.255    3.536   2.526   0.0           6.394   -0.372    0.0      0.0       0.4484   0.0       
  0.8    5.843025   4208.0   0.245    3.545   2.498   0.0           6.399   -0.358    0.0      0.0       0.4485   0.0       
  0.8    5.849933   4207.0   0.24     3.55    2.484   0.0           6.401   -0.3509   0.0      0.0       0.4486   0.0       
  0.8    5.863775   4206.0   0.23     3.56    2.457   0.0           6.406   -0.3369   0.0      0.0       0.4487   0.0       
  0.8    5.870708   4205.0   0.225    3.565   2.443   0.0           6.408   -0.3298   0.0      0.0       0.4487   0.0       
  0.8    5.884599   4204.0   0.215    3.574   2.417   0.0           6.413   -0.3157   0.0      0.0       0.4488   0.0       
  0.8    5.891555   4203.0   0.21     3.579   2.403   0.0           6.415   -0.3087   0.0      0.0       0.4489   0.0       
  0.8    5.905494   4202.0   0.2      3.589   2.377   0.0           6.42    -0.2946   0.0      0.0       0.449    0.0       
  0.8    5.912474   4201.0   0.194    3.593   2.364   0.0           6.422   -0.2875   0.0      0.0       0.449    0.0       
  0.8    5.919465   4200.0   0.189    3.598   2.351   0.0           6.424   -0.2805   0.0      0.0       0.4491   0.0       
