# Mass   time       Teff     L/Ls     g       R/Rs    Log(Li/Li0)   logTc   logROc    Mrad     Rrad     k2conv    k2rad     
  1.0    5.693063   4397.0   0.508    3.456   3.096   0.0           6.402   -0.5378   0.0      0.0      0.4479    0.0       
  1.0    5.699731   4397.0   0.503    3.461   3.079   0.0           6.404   -0.5308   0.0      0.0      0.448     0.0       
  1.0    5.713101   4396.0   0.493    3.47    3.045   0.0           6.409   -0.5167   0.0      0.0      0.4481    0.0       
  1.0    5.7198     4396.0   0.488    3.475   3.029   0.0           6.412   -0.5097   0.0      0.0      0.4481    0.0       
  1.0    5.733232   4395.0   0.479    3.485   2.995   0.0           6.416   -0.4956   0.0      0.0      0.4482    0.0       
  1.0    5.739961   4395.0   0.474    3.489   2.979   0.0           6.418   -0.4886   0.0      0.0      0.4482    0.0       
  1.0    5.753449   4394.0   0.464    3.499   2.946   0.0           6.423   -0.4746   0.0      0.0      0.4483    0.0       
  1.0    5.760208   4394.0   0.459    3.504   2.93    0.0           6.426   -0.4675   0.0      0.0      0.4484    0.0       
  1.0    5.773752   4393.0   0.449    3.513   2.898   0.0           6.43    -0.4535   0.0      0.0      0.4485    0.0       
  1.0    5.780538   4393.0   0.444    3.518   2.882   0.0           6.433   -0.4464   0.0      0.0      0.4485    0.0       
  1.0    5.794137   4392.0   0.434    3.528   2.851   0.0           6.437   -0.4323   0.0      0.0      0.4486    0.0       
  1.0    5.800949   4392.0   0.429    3.532   2.835   0.0           6.439   -0.4253   0.0      0.0      0.4487    0.0       
  1.0    5.814599   4391.0   0.419    3.542   2.804   0.0           6.444   -0.4112   0.0      0.0      0.4487    0.0       
  1.0    5.821436   4390.0   0.415    3.547   2.789   0.0           6.446   -0.4042   0.0      0.0      0.4488    0.0       
  1.0    5.835137   4389.0   0.405    3.556   2.758   0.0           6.451   -0.3901   0.0      0.0      0.4489    0.0       
  1.0    5.841999   4389.0   0.4      3.561   2.743   0.0           6.453   -0.3831   0.0      0.0      0.4489    0.0       
  1.0    5.855747   4388.0   0.39     3.571   2.713   0.0           6.458   -0.369    0.0      0.0      0.449     0.0       
  1.0    5.862633   4388.0   0.385    3.575   2.698   0.0           6.46    -0.362    0.0      0.0      0.4491    0.0       
  1.0    5.869527   4387.0   0.38     3.58    2.683   0.0           6.463   -0.3549   0.0      0.0      0.4491    0.0       
  1.0    5.883335   4386.0   0.37     3.59    2.654   0.0           6.467   -0.3409   0.0      0.0      0.4492    0.0       
  1.0    5.89025    4386.0   0.365    3.595   2.639   0.0           6.47    -0.3338   0.0      0.0      0.4492    0.0       
  1.0    5.9041     4385.0   0.355    3.604   2.61    0.0           6.474   -0.3197   0.0      0.0      0.4493    0.0       
  1.0    5.911036   4384.0   0.35     3.609   2.596   0.0           6.477   -0.3127   0.0      0.0      0.4494    0.0       
  1.0    5.924927   4383.0   0.34     3.619   2.567   0.0           6.481   -0.2986   0.0      0.0      0.4495    0.0       
  1.0    5.931884   4383.0   0.335    3.623   2.553   0.0           6.484   -0.2916   0.0      0.0      0.4495    0.0       
  1.0    5.945815   4382.0   0.325    3.633   2.525   0.0           6.488   -0.2775   0.0      0.0      0.4496    0.0       
  1.0    5.952791   4381.0   0.32     3.638   2.511   0.0           6.491   -0.2705   0.0      0.0      0.4496    0.0       
  1.0    5.959773   4380.0   0.315    3.642   2.498   0.0           6.493   -0.2634   0.0      0.0      0.4497    0.0       
  1.0    5.973755   4379.0   0.305    3.652   2.47    0.0           6.498   -0.2493   0.0      0.0      0.4497    0.0       
  1.0    5.980759   4379.0   0.3      3.657   2.457   0.0           6.5     -0.2423   0.0      0.0      0.4498    0.0       
  1.0    5.994779   4378.0   0.29     3.666   2.43    0.0           6.505   -0.2282   0.0      0.0      0.4499    0.0       
  1.0    6.001799   4377.0   0.285    3.671   2.416   0.0           6.507   -0.2212   0.0      0.0      0.4499    0.0       
  1.0    6.015863   4376.0   0.275    3.681   2.39    0.0           6.511   -0.2071   0.0      0.0      0.45      0.0       
  1.0    6.022902   4375.0   0.27     3.686   2.377   0.0           6.514   -0.2      0.0      0.0      0.45      0.0       
  1.0    6.029948   4375.0   0.265    3.69    2.364   0.0           6.516   -0.193    0.0      0.0      0.4501    0.0       
  1.0    6.044057   4373.0   0.255    3.7     2.338   0.0           6.521   -0.1789   0.0      0.0      0.4502    0.0       
  1.0    6.051122   4373.0   0.25     3.705   2.325   0.0           6.523   -0.1718   0.0      0.0      0.4502    0.0       
  1.0    6.06527    4371.0   0.24     3.714   2.299   0.0           6.528   -0.1577   0.0      0.0      0.4503    0.0       
  1.0    6.072353   4371.0   0.235    3.719   2.287   -4.0E-4       6.53    -0.1507   0.0      0.0      0.4503    0.0       
  1.0    6.079445   4370.0   0.229    3.724   2.274   -4.0E-4       6.533   -0.1436   0.0      0.0      0.4504    0.0       
  1.0    6.093642   4369.0   0.219    3.733   2.249   -4.0E-4       6.537   -0.1295   0.0      0.0      0.4504    0.0       
  1.0    6.100753   4368.0   0.214    3.738   2.237   -4.0E-4       6.54    -0.1224   0.0      0.0      0.4505    0.0       
  1.0    6.114991   4367.0   0.204    3.748   2.212   -4.0E-4       6.544   -0.1083   0.0      0.0      0.4505    0.0       
  1.0    6.122121   4366.0   0.199    3.753   2.2     -4.0E-4       6.547   -0.1013   0.0      0.0      0.4506    0.0       
  1.0    6.129255   4366.0   0.194    3.757   2.188   -9.0E-4       6.549   -0.0942   0.0      0.0      0.4506    0.0       
  1.0    6.143543   4364.0   0.184    3.767   2.164   -9.0E-4       6.554   -0.0801   0.0      0.0      0.4507    0.0       
  1.0    6.150695   4364.0   0.179    3.772   2.152   -9.0E-4       6.556   -0.073    0.0      0.0      0.4507    0.0       
  1.0    6.165016   4362.0   0.169    3.781   2.129   -0.0013       6.561   -0.0588   0.0      0.0      0.4508    0.0       
  1.0    6.172185   4362.0   0.164    3.786   2.117   -0.0017       6.563   -0.0518   0.0      0.0      0.4508    0.0       
  1.0    6.179356   4361.0   0.159    3.791   2.105   -0.0017       6.565   -0.0447   0.0      0.0      0.4508    0.0       
  1.0    6.19372    4360.0   0.149    3.8     2.082   -0.0022       6.57    -0.0305   0.0      0.0      0.4509    0.0       
  1.0    6.200908   4359.0   0.144    3.805   2.071   -0.0026       6.572   -0.0234   0.0      0.0      0.4509    0.0       
  1.0    6.215294   4358.0   0.134    3.815   2.048   -0.0035       6.577   -0.0092   5.0E-4   0.0878   0.451     5.632E-4  
  1.0    6.222493   4357.0   0.128    3.82    2.037   -0.0039       6.58    -0.0021   0.0016   0.131    0.451     0.001599  
  1.0    6.229695   4356.0   0.123    3.824   2.026   -0.0044       6.582   0.0051    0.0028   0.1586   0.451     0.002621  
  1.0    6.244106   4355.0   0.113    3.834   2.004   -0.0057       6.586   0.0194    0.0067   0.2093   0.4511    0.005348  
  1.0    6.251317   4354.0   0.108    3.839   1.993   -0.0061       6.589   0.0266    0.0082   0.2232   0.4511    0.006366  
  1.0    6.265744   4353.0   0.098    3.848   1.971   -0.0074       6.593   0.0411    0.0112   0.2458   0.4511    0.008302  
  1.0    6.272964   4352.0   0.093    3.853   1.96    -0.0083       6.595   0.0484    0.0143   0.2652   0.4511    0.01016   
  1.0    6.280182   4352.0   0.088    3.858   1.949   -0.0092       6.597   0.0557    0.0173   0.2817   0.4511    0.01194   
  1.0    6.294632   4350.0   0.078    3.867   1.928   -0.011        6.602   0.0703    0.0233   0.3088   0.451     0.01537   
  1.0    6.301859   4350.0   0.073    3.872   1.917   -0.0119       6.604   0.0777    0.0267   0.3216   0.451     0.0172    
  1.0    6.309091   4349.0   0.068    3.877   1.907   -0.0128       6.606   0.0851    0.03     0.3332   0.4509    0.019     
  1.0    6.322261   4348.0   0.059    3.886   1.888   -0.015        6.61    0.0986    0.0367   0.3538   0.4508    0.02251   
  1.0    6.329278   4347.0   0.054    3.89    1.878   -0.0159       6.612   0.1058    0.0367   0.3519   0.4508    0.0225    
  1.0    6.341858   4346.0   0.045    3.898   1.86    -0.0182       6.615   0.1188    0.0434   0.3695   0.4507    0.02592   
  1.0    6.352071   4344.0   0.038    3.905   1.846   -0.02         6.618   0.1294    0.0507   0.3875   0.4505    0.0296    
  1.0    6.362047   4343.0   0.031    3.912   1.832   -0.0223       6.621   0.1398    0.0581   0.4035   0.4503    0.03322   
  1.0    6.371801   4342.0   0.024    3.918   1.818   -0.0241       6.624   0.15      0.0581   0.4005   0.4503    0.03321   
  1.0    6.381213   4341.0   0.017    3.924   1.805   -0.0264       6.626   0.1599    0.0655   0.415    0.4501    0.03675   
  1.0    6.390571   4340.0   0.011    3.931   1.793   -0.0287       6.629   0.1698    0.0729   0.4281   0.4498    0.04024   
  1.0    6.399111   4339.0   0.005    3.936   1.781   -0.0311       6.631   0.1789    0.0729   0.4253   0.4498    0.04023   
  1.0    6.409157   4338.0   -0.002   3.943   1.768   -0.0334       6.634   0.1896    0.0802   0.4369   0.4495    0.04367   
  1.0    6.419333   4337.0   -0.009   3.949   1.754   -0.0367       6.637   0.2005    0.0876   0.4476   0.4492    0.04707   
  1.0    6.431084   4336.0   -0.018   3.957   1.739   -0.04         6.64    0.2132    0.095    0.4569   0.4488    0.05042   
  1.0    6.441943   4334.0   -0.025   3.964   1.725   -0.0438       6.643   0.2249    0.1023   0.4657   0.4484    0.05374   
  1.0    6.453005   4333.0   -0.033   3.971   1.71    -0.0472       6.646   0.2369    0.1097   0.4738   0.448     0.05702   
  1.0    6.460095   4332.0   -0.038   3.976   1.701   -0.0496       6.647   0.2445    0.1097   0.4711   0.448     0.057     
  1.0    6.474792   4330.0   -0.048   3.985   1.683   -0.055        6.651   0.2605    0.1245   0.4883   0.4472    0.06351   
  1.0    6.482154   4330.0   -0.053   3.99    1.674   -0.058        6.653   0.2686    0.1245   0.4855   0.4471    0.06348   
  1.0    6.48953    4329.0   -0.058   3.995   1.665   -0.0605       6.655   0.2767    0.1318   0.4933   0.4467    0.06669   
  1.0    6.504315   4327.0   -0.068   4.004   1.647   -0.0665       6.659   0.293     0.1392   0.4978   0.4462    0.06984   
  1.0    6.511724   4326.0   -0.073   4.009   1.638   -0.0696       6.661   0.3012    0.1466   0.5048   0.4456    0.073     
  1.0    6.51915    4325.0   -0.078   4.014   1.629   -0.0731       6.662   0.3094    0.1539   0.5115   0.4451    0.07615   
  1.0    6.534043   4323.0   -0.089   4.023   1.611   -0.0794       6.666   0.3261    0.1613   0.5148   0.4445    0.07922   
  1.0    6.541513   4323.0   -0.094   4.028   1.603   -0.083        6.668   0.3344    0.1687   0.5207   0.4439    0.08232   
  1.0    6.549      4322.0   -0.099   4.033   1.594   -0.0867       6.67    0.3429    0.176    0.5265   0.4432    0.08541   
  1.0    6.564023   4320.0   -0.109   4.042   1.577   -0.0937       6.673   0.3598    0.1834   0.5287   0.4425    0.08841   
  1.0    6.571563   4319.0   -0.114   4.047   1.568   -0.098        6.675   0.3684    0.1908   0.5339   0.4419    0.09145   
  1.0    6.579123   4318.0   -0.119   4.051   1.56    -0.1018       6.677   0.377     0.1982   0.5388   0.4412    0.09448   
