# Mass   time       Teff     L/Ls     g       R/Rs    Log(Li/Li0)   logTc   logROc    Mrad     Rrad      k2conv    k2rad     
  1.1    5.694315   4471.0   0.573    3.461   3.227   0.0           6.425   -0.5508   0.0      0.0       0.4481    0.0       
  1.1    5.700945   4471.0   0.568    3.466   3.209   0.0           6.427   -0.5438   0.0      0.0       0.4482    0.0       
  1.1    5.714236   4471.0   0.558    3.476   3.174   0.0           6.432   -0.5298   0.0      0.0       0.4483    0.0       
  1.1    5.720892   4470.0   0.554    3.48    3.157   0.0           6.434   -0.5227   0.0      0.0       0.4483    0.0       
  1.1    5.734236   4470.0   0.544    3.49    3.122   0.0           6.439   -0.5087   0.0      0.0       0.4484    0.0       
  1.1    5.74092    4470.0   0.539    3.495   3.105   0.0           6.441   -0.5017   0.0      0.0       0.4484    0.0       
  1.1    5.754318   4469.0   0.529    3.504   3.071   0.0           6.446   -0.4876   0.0      0.0       0.4485    0.0       
  1.1    5.761028   4469.0   0.525    3.509   3.055   0.0           6.448   -0.4806   0.0      0.0       0.4486    0.0       
  1.1    5.774478   4469.0   0.515    3.519   3.021   0.0           6.453   -0.4665   0.0      0.0       0.4487    0.0       
  1.1    5.781214   4469.0   0.51     3.523   3.005   0.0           6.455   -0.4595   0.0      0.0       0.4487    0.0       
  1.1    5.794715   4468.0   0.5      3.533   2.972   0.0           6.46    -0.4454   0.0      0.0       0.4488    0.0       
  1.1    5.801476   4468.0   0.495    3.538   2.956   0.0           6.462   -0.4384   0.0      0.0       0.4488    0.0       
  1.1    5.815028   4467.0   0.486    3.547   2.923   0.0           6.467   -0.4243   0.0      0.0       0.4489    0.0       
  1.1    5.821816   4467.0   0.481    3.552   2.907   0.0           6.469   -0.4173   0.0      0.0       0.449     0.0       
  1.1    5.835418   4466.0   0.471    3.561   2.876   0.0           6.474   -0.4032   0.0      0.0       0.449     0.0       
  1.1    5.842232   4466.0   0.466    3.566   2.86    0.0           6.476   -0.3961   0.0      0.0       0.4491    0.0       
  1.1    5.849052   4466.0   0.461    3.571   2.844   0.0           6.478   -0.3891   0.0      0.0       0.4491    0.0       
  1.1    5.862719   4465.0   0.451    3.581   2.813   0.0           6.483   -0.375    0.0      0.0       0.4492    0.0       
  1.1    5.869563   4465.0   0.446    3.585   2.798   0.0           6.485   -0.368    0.0      0.0       0.4492    0.0       
  1.1    5.883276   4464.0   0.437    3.595   2.767   0.0           6.49    -0.3539   0.0      0.0       0.4493    0.0       
  1.1    5.890144   4463.0   0.432    3.6     2.752   0.0           6.492   -0.3468   0.0      0.0       0.4494    0.0       
  1.1    5.903904   4463.0   0.422    3.609   2.722   0.0           6.497   -0.3327   0.0      0.0       0.4494    0.0       
  1.1    5.910793   4462.0   0.417    3.614   2.707   0.0           6.499   -0.3257   0.0      0.0       0.4495    0.0       
  1.1    5.924596   4461.0   0.407    3.624   2.677   0.0           6.504   -0.3116   0.0      0.0       0.4496    0.0       
  1.1    5.931505   4461.0   0.402    3.628   2.662   0.0           6.506   -0.3046   0.0      0.0       0.4496    0.0       
  1.1    5.945348   4460.0   0.392    3.638   2.633   0.0           6.511   -0.2905   0.0      0.0       0.4497    0.0       
  1.1    5.952279   4460.0   0.387    3.643   2.619   0.0           6.513   -0.2834   0.0      0.0       0.4497    0.0       
  1.1    5.959215   4459.0   0.382    3.648   2.604   0.0           6.516   -0.2764   0.0      0.0       0.4497    0.0       
  1.1    5.973108   4458.0   0.372    3.657   2.576   0.0           6.52    -0.2623   0.0      0.0       0.4498    0.0       
  1.1    5.980063   4458.0   0.367    3.662   2.562   0.0           6.523   -0.2553   0.0      0.0       0.4499    0.0       
  1.1    5.993995   4457.0   0.357    3.671   2.534   0.0           6.527   -0.2412   0.0      0.0       0.45      0.0       
  1.1    6.000967   4456.0   0.352    3.676   2.52    0.0           6.53    -0.2341   0.0      0.0       0.45      0.0       
  1.1    6.014932   4455.0   0.343    3.686   2.492   0.0           6.534   -0.2201   0.0      0.0       0.4501    0.0       
  1.1    6.021925   4455.0   0.338    3.691   2.478   -4.0E-4       6.537   -0.213    0.0      0.0       0.4501    0.0       
  1.1    6.035926   4454.0   0.328    3.7     2.451   -4.0E-4       6.541   -0.199    0.0      0.0       0.4502    0.0       
  1.1    6.042934   4453.0   0.323    3.705   2.438   -4.0E-4       6.544   -0.1919   0.0      0.0       0.4502    0.0       
  1.1    6.04995    4453.0   0.318    3.71    2.424   -4.0E-4       6.546   -0.1849   0.0      0.0       0.4503    0.0       
  1.1    6.063997   4452.0   0.307    3.719   2.398   -4.0E-4       6.551   -0.1709   0.0      0.0       0.4503    0.0       
  1.1    6.071035   4451.0   0.302    3.724   2.385   -4.0E-4       6.553   -0.1639   0.0      0.0       0.4504    0.0       
  1.1    6.085119   4450.0   0.292    3.734   2.359   -9.0E-4       6.558   -0.1498   0.0      0.0       0.4505    0.0       
  1.1    6.092173   4449.0   0.287    3.738   2.346   -9.0E-4       6.56    -0.1428   0.0      0.0       0.4505    0.0       
  1.1    6.099232   4449.0   0.282    3.743   2.333   -9.0E-4       6.562   -0.1358   0.0      0.0       0.4505    0.0       
  1.1    6.113372   4447.0   0.272    3.753   2.307   -0.0013       6.567   -0.1217   3.0E-4   0.08047   0.4506    3.12E-4   
  1.1    6.120452   4447.0   0.267    3.758   2.295   -0.0017       6.569   -0.1147   0.0012   0.1301    0.4506    0.001165  
  1.1    6.13463    4446.0   0.257    3.767   2.269   -0.0022       6.574   -0.1005   0.0031   0.1776    0.4507    0.002619  
  1.1    6.141729   4445.0   0.252    3.772   2.257   -0.0022       6.576   -0.0934   0.0048   0.2043    0.4507    0.003755  
  1.1    6.155949   4444.0   0.242    3.781   2.232   -0.0026       6.581   -0.079    0.009    0.2499    0.4508    0.006362  
  1.1    6.163066   4443.0   0.237    3.786   2.22    -0.0031       6.583   -0.0718   0.0124   0.2767    0.4508    0.008297  
  1.1    6.170194   4443.0   0.232    3.791   2.208   -0.0035       6.585   -0.0646   0.0157   0.2986    0.4508    0.01015   
  1.1    6.184467   4441.0   0.222    3.801   2.184   -0.0039       6.59    -0.05     0.0224   0.3333    0.4508    0.01367   
  1.1    6.191616   4441.0   0.217    3.805   2.172   -0.0044       6.592   -0.0427   0.0224   0.3315    0.4508    0.01367   
  1.1    6.205932   4439.0   0.207    3.815   2.148   -0.0052       6.596   -0.028    0.0294   0.3601    0.4507    0.01719   
  1.1    6.213103   4439.0   0.202    3.82    2.136   -0.0057       6.598   -0.0206   0.033    0.373     0.4507    0.01899   
  1.1    6.220278   4438.0   0.197    3.825   2.124   -0.0061       6.6     -0.0132   0.033    0.3709    0.4507    0.01899   
  1.1    6.234327   4437.0   0.187    3.834   2.101   -0.007        6.604   0.0015    0.0404   0.3935    0.4506    0.02249   
  1.1    6.240477   4437.0   0.183    3.838   2.092   -0.0079       6.606   0.0079    0.0477   0.4153    0.4504    0.02591   
  1.1    6.251149   4436.0   0.175    3.845   2.075   -0.0083       6.609   0.0191    0.0558   0.4354    0.4502    0.02959   
  1.1    6.26051    4435.0   0.169    3.851   2.06    -0.0092       6.612   0.029     0.0558   0.4322    0.4503    0.02958   
  1.1    6.272306   4434.0   0.161    3.859   2.041   -0.0106       6.615   0.0415    0.0639   0.4494    0.45      0.03319   
  1.1    6.280355   4433.0   0.155    3.864   2.029   -0.0114       6.617   0.05      0.072    0.466     0.4498    0.03673   
  1.1    6.291615   4433.0   0.147    3.872   2.011   -0.0123       6.62    0.062     0.0801   0.48      0.4495    0.04022   
  1.1    6.299113   4432.0   0.142    3.877   2.0     -0.0132       6.623   0.0701    0.0801   0.4772    0.4495    0.04021   
  1.1    6.309609   4431.0   0.135    3.884   1.984   -0.0146       6.625   0.0814    0.0883   0.4901    0.4492    0.04364   
  1.1    6.321308   4430.0   0.127    3.892   1.967   -0.0159       6.629   0.094     0.0964   0.5014    0.4489    0.04703   
  1.1    6.329953   4430.0   0.121    3.897   1.954   -0.0173       6.631   0.1035    0.1045   0.513     0.4485    0.05039   
  1.1    6.339076   4429.0   0.115    3.903   1.94    -0.0186       6.633   0.1134    0.1045   0.5093    0.4485    0.05036   
  1.1    6.349198   4428.0   0.108    3.91    1.925   -0.02         6.636   0.1246    0.1126   0.5193    0.4481    0.05368   
  1.1    6.359771   4428.0   0.101    3.917   1.91    -0.0218       6.639   0.1362    0.1207   0.5285    0.4477    0.05695   
