# Mass   time       Teff     L/Ls    g       R/Rs    Log(Li/Li0)   logTc   logROc    Mrad     Rrad     k2conv     k2rad     
  1.3    5.694626   4596.0   0.688   3.466   3.488   0.0           6.462   -0.5799   0.0      0.0      0.4485     0.0       
  1.3    5.701203   4596.0   0.684   3.471   3.469   0.0           6.465   -0.5728   0.0      0.0      0.4485     0.0       
  1.3    5.714366   4597.0   0.674   3.481   3.431   0.0           6.469   -0.5587   0.0      0.0      0.4486     0.0       
  1.3    5.720957   4597.0   0.67    3.485   3.412   0.0           6.472   -0.5517   0.0      0.0      0.4486     0.0       
  1.3    5.734147   4598.0   0.66    3.495   3.375   0.0           6.476   -0.5376   0.0      0.0      0.4487     0.0       
  1.3    5.740751   4598.0   0.656   3.5     3.356   0.0           6.479   -0.5306   0.0      0.0      0.4487     0.0       
  1.3    5.753972   4599.0   0.646   3.509   3.32    0.0           6.484   -0.5165   0.0      0.0      0.4488     0.0       
  1.3    5.760589   4599.0   0.642   3.514   3.301   0.0           6.486   -0.5095   0.0      0.0      0.4489     0.0       
  1.3    5.773839   4599.0   0.632   3.524   3.265   0.0           6.49    -0.4954   0.0      0.0      0.4489     0.0       
  1.3    5.780471   4600.0   0.628   3.528   3.247   0.0           6.493   -0.4884   0.0      0.0      0.449      0.0       
  1.3    5.793751   4600.0   0.618   3.538   3.212   0.0           6.497   -0.4743   0.0      0.0      0.449      0.0       
  1.3    5.800399   4600.0   0.614   3.543   3.194   0.0           6.5     -0.4673   0.0      0.0      0.4491     0.0       
  1.3    5.813712   4600.0   0.604   3.552   3.16    0.0           6.504   -0.4533   0.0      0.0      0.4492     0.0       
  1.3    5.820381   4600.0   0.599   3.557   3.142   0.0           6.507   -0.4462   0.0      0.0      0.4492     0.0       
  1.3    5.833731   4600.0   0.59    3.567   3.108   0.0           6.511   -0.4322   0.0      0.0      0.4493     0.0       
  1.3    5.840419   4600.0   0.585   3.571   3.091   0.0           6.514   -0.4251   0.0      0.0      0.4493     0.0       
  1.3    5.853813   4601.0   0.576   3.581   3.057   0.0           6.518   -0.4111   0.0      0.0      0.4494     0.0       
  1.3    5.860522   4600.0   0.571   3.586   3.041   0.0           6.521   -0.404    0.0      0.0      0.4494     0.0       
  1.3    5.873962   4600.0   0.561   3.595   3.007   0.0           6.525   -0.39     0.0      0.0      0.4495     0.0       
  1.3    5.880694   4600.0   0.557   3.6     2.991   0.0           6.528   -0.3829   0.0      0.0      0.4495     0.0       
  1.3    5.894183   4600.0   0.547   3.609   2.958   0.0           6.532   -0.3688   0.0      0.0      0.4496     0.0       
  1.3    5.900938   4600.0   0.542   3.614   2.942   0.0           6.535   -0.3618   0.0      0.0      0.4496     0.0       
  1.3    5.914474   4599.0   0.532   3.624   2.91    0.0           6.539   -0.3477   0.0      0.0      0.4497     0.0       
