# Mass   time       Teff     L/Ls    g       R/Rs    Log(Li/Li0)   logTc   logROc    Mrad     Rrad      k2conv     k2rad     
  1.4    5.692977   4647.0   0.74    3.466   3.621   0.0           6.478   -0.5965   0.0      0.0       0.4486     0.0       
  1.4    5.699537   4647.0   0.735   3.471   3.601   0.0           6.48    -0.5894   0.0      0.0       0.4486     0.0       
  1.4    5.712661   4649.0   0.726   3.48    3.562   0.0           6.485   -0.5752   0.0      0.0       0.4487     0.0       
  1.4    5.719229   4649.0   0.722   3.485   3.542   0.0           6.487   -0.5682   0.0      0.0       0.4487     0.0       
  1.4    5.732378   4650.0   0.713   3.495   3.503   0.0           6.492   -0.554    0.0      0.0       0.4488     0.0       
  1.4    5.745545   4651.0   0.703   3.504   3.465   0.0           6.497   -0.5399   0.0      0.0       0.4489     0.0       
  1.4    5.752132   4652.0   0.699   3.509   3.446   0.0           6.499   -0.5329   0.0      0.0       0.4489     0.0       
  1.4    5.765323   4653.0   0.69    3.519   3.408   0.0           6.504   -0.5187   0.0      0.0       0.449      0.0       
  1.4    5.771922   4654.0   0.685   3.523   3.389   0.0           6.506   -0.5117   0.0      0.0       0.449      0.0       
  1.4    5.785136   4654.0   0.676   3.533   3.352   0.0           6.511   -0.4976   0.0      0.0       0.4491     0.0       
  1.4    5.791747   4655.0   0.671   3.538   3.334   0.0           6.513   -0.4905   0.0      0.0       0.4491     0.0       
  1.4    5.804984   4656.0   0.662   3.547   3.297   0.0           6.518   -0.4764   0.0      0.0       0.4492     0.0       
  1.4    5.811607   4656.0   0.657   3.552   3.279   0.0           6.52    -0.4694   0.0      0.0       0.4492     0.0       
  1.4    5.824867   4657.0   0.648   3.562   3.243   0.0           6.525   -0.4553   0.0      0.0       0.4493     0.0       
  1.4    5.831505   4657.0   0.643   3.566   3.226   0.0           6.527   -0.4483   0.0      0.0       0.4493     0.0       
  1.4    5.844791   4657.0   0.634   3.576   3.19    0.0           6.532   -0.4342   0.0      0.0       0.4494     0.0       
  1.4    5.851444   4658.0   0.629   3.581   3.173   0.0           6.534   -0.4272   0.0      0.0       0.4495     0.0       
  1.4    5.86476    4658.0   0.62    3.59    3.138   0.0           6.539   -0.4131   0.0      0.0       0.4495     0.0       
  1.4    5.87143    4658.0   0.615   3.595   3.121   0.0           6.541   -0.4061   3.0E-4   0.09887   0.4496     2.263E-4  
  1.4    5.884781   4658.0   0.606   3.605   3.087   0.0           6.546   -0.3919   0.0029   0.2165    0.4496     0.002002  
  1.4    5.89147    4658.0   0.601   3.609   3.07    0.0           6.548   -0.3848   0.004    0.2394    0.4496     0.002609  
  1.4    5.904861   4659.0   0.592   3.619   3.037   -4.0E-4       6.552   -0.3706   0.0093   0.3158    0.4497     0.005325  
  1.4    5.911569   4659.0   0.587   3.624   3.02    -4.0E-4       6.555   -0.3635   0.0115   0.3369    0.4497     0.006339  
  1.4    5.925006   4659.0   0.577   3.633   2.987   -4.0E-4       6.559   -0.3491   0.02     0.4026    0.4497     0.01011   
  1.4    5.931735   4659.0   0.573   3.638   2.971   -4.0E-4       6.561   -0.3419   0.02     0.4004    0.4497     0.01011   
  1.4    5.945225   4659.0   0.563   3.647   2.939   -4.0E-4       6.566   -0.3274   0.0285   0.447     0.4497     0.01362   
  1.4    5.95198    4659.0   0.558   3.652   2.923   -4.0E-4       6.568   -0.3201   0.0327   0.4662    0.4497     0.0153    
  1.4    5.965522   4658.0   0.549   3.662   2.891   -4.0E-4       6.572   -0.3055   0.0374   0.4829    0.4497     0.01713   
  1.4    5.972304   4658.0   0.544   3.666   2.875   -4.0E-4       6.574   -0.2981   0.042    0.5003    0.4496     0.01892   
  1.4    5.979098   4658.0   0.539   3.671   2.859   -4.0E-4       6.576   -0.2908   0.0514   0.5336    0.4495     0.02242   
  1.4    5.992715   4658.0   0.53    3.681   2.828   -9.0E-4       6.58    -0.2759   0.0607   0.5596    0.4494     0.02582   
  1.4    5.99954    4658.0   0.525   3.685   2.813   -9.0E-4       6.582   -0.2685   0.0607   0.5565    0.4494     0.02582   
  1.4    6.013217   4658.0   0.515   3.695   2.782   -9.0E-4       6.587   -0.2535   0.071    0.5817    0.4492     0.02948   
  1.4    6.020075   4657.0   0.51    3.7     2.767   -9.0E-4       6.589   -0.246    0.0814   0.6071    0.449      0.03308   
  1.4    6.033822   4657.0   0.501   3.709   2.736   -0.0013       6.593   -0.2308   0.0917   0.6266    0.4488     0.03661   
  1.4    6.040713   4657.0   0.496   3.714   2.722   -0.0013       6.595   -0.2232   0.0917   0.623     0.4488     0.0366    
  1.4    6.054533   4656.0   0.486   3.724   2.692   -0.0013       6.599   -0.2079   0.102    0.6402    0.4485     0.04007   
  1.4    6.06146    4656.0   0.481   3.728   2.677   -0.0013       6.601   -0.2002   0.1123   0.6592    0.4482     0.04351   
  1.4    6.075357   4656.0   0.471   3.738   2.648   -0.0017       6.605   -0.1847   0.1226   0.673     0.4479     0.04688   
  1.4    6.082329   4656.0   0.467   3.743   2.633   -0.0017       6.606   -0.1769   0.133    0.6894    0.4475     0.05024   
  1.4    6.089312   4655.0   0.462   3.747   2.619   -0.0017       6.609   -0.169    0.133    0.6854    0.4475     0.05022   
  1.4    6.103321   4655.0   0.452   3.757   2.59    -0.0022       6.612   -0.1532   0.1433   0.6966    0.4472     0.05352   
  1.4    6.110351   4655.0   0.447   3.762   2.576   -0.0022       6.614   -0.1453   0.1536   0.7108    0.4467     0.0568    
  1.4    6.124305   4654.0   0.438   3.771   2.548   -0.0022       6.618   -0.1294   0.1639   0.72      0.4463     0.06003   
  1.4    6.13052    4654.0   0.433   3.775   2.536   -0.0026       6.62    -0.1223   0.1742   0.733     0.4459     0.06326   
  1.4    6.14134    4654.0   0.426   3.783   2.515   -0.0026       6.623   -0.1099   0.1846   0.7425    0.4454     0.06645   
  1.4    6.150563   4654.0   0.42    3.789   2.497   -0.0031       6.625   -0.0993   0.1949   0.7523    0.4449     0.06962   
  1.4    6.162744   4653.0   0.411   3.797   2.473   -0.0031       6.628   -0.0852   0.2052   0.7597    0.4444     0.07275   
  1.4    6.170825   4653.0   0.406   3.803   2.458   -0.0035       6.631   -0.0758   0.2155   0.769     0.4438     0.07588   
  1.4    6.179017   4653.0   0.4     3.808   2.442   -0.0035       6.633   -0.0662   0.2155   0.7638    0.4438     0.07583   
  1.4    6.190841   4653.0   0.392   3.816   2.42    -0.0039       6.636   -0.0523   0.2361   0.7838    0.4426     0.08205   
  1.4    6.202837   4652.0   0.384   3.824   2.398   -0.0039       6.639   -0.0382   0.2465   0.7892    0.442      0.08509   
  1.4    6.210648   4652.0   0.379   3.829   2.384   -0.0044       6.641   -0.029    0.2568   0.797     0.4413     0.08815   
  1.4    6.221685   4652.0   0.372   3.836   2.364   -0.0048       6.644   -0.0158   0.2671   0.8021    0.4406     0.09115   
  1.4    6.229984   4652.0   0.366   3.842   2.349   -0.0048       6.646   -0.0059   0.2774   0.8088    0.4399     0.09417   
  1.4    6.239382   4652.0   0.36    3.848   2.333   -0.0052       6.649   0.0054    0.2774   0.8024    0.4399     0.09407   
  1.4    6.249492   4652.0   0.353   3.855   2.315   -0.0057       6.651   0.0176    0.2981   0.8191    0.4384     0.1001    
  1.4    6.259082   4652.0   0.347   3.861   2.298   -0.0057       6.654   0.0293    0.3084   0.824     0.4376     0.1031    
  1.4    6.269349   4652.0   0.34    3.868   2.281   -0.0061       6.657   0.0418    0.3187   0.828     0.4368     0.106     
  1.4    6.279167   4652.0   0.334   3.874   2.264   -0.0066       6.659   0.0538    0.329    0.8321    0.436      0.1089    
  1.4    6.292604   4652.0   0.326   3.883   2.242   -0.007        6.662   0.0704    0.3393   0.8334    0.435      0.1117    
  1.4    6.305831   4653.0   0.317   3.891   2.22    -0.0074       6.666   0.0867    0.36     0.8449    0.4333     0.1176    
  1.4    6.312801   4653.0   0.313   3.895   2.209   -0.0079       6.668   0.0954    0.3703   0.8502    0.4324     0.1205    
  1.4    6.319745   4653.0   0.309   3.9     2.198   -0.0079       6.669   0.104     0.3703   0.8452    0.4323     0.1203    
  1.4    6.33355    4654.0   0.3     3.908   2.176   -0.0088       6.673   0.1214    0.3909   0.8551    0.4303     0.1261    
  1.4    6.34041    4654.0   0.296   3.913   2.165   -0.0088       6.675   0.1301    0.3982   0.8569    0.4296     0.128     
  1.4    6.354055   4655.0   0.288   3.921   2.144   -0.0097       6.678   0.1474    0.4127   0.8604    0.4281     0.1319    
  1.4    6.360836   4655.0   0.284   3.925   2.134   -0.0097       6.68    0.1561    0.4265   0.868     0.4267     0.1358    
  1.4    6.374321   4656.0   0.276   3.934   2.113   -0.0101       6.684   0.1734    0.4402   0.8703    0.4252     0.1394    
  1.4    6.381027   4657.0   0.272   3.938   2.103   -0.0106       6.685   0.1821    0.4402   0.8653    0.425      0.1392    
  1.4    6.394362   4658.0   0.264   3.946   2.083   -0.011        6.689   0.1994    0.4677   0.8793    0.4221     0.1467    
  1.4    6.400994   4659.0   0.26    3.95    2.074   -0.0114       6.69    0.2081    0.4677   0.8743    0.4219     0.1465    
  1.4    6.414183   4660.0   0.253   3.958   2.055   -0.0123       6.694   0.2254    0.4815   0.876     0.4202     0.1501    
  1.4    6.420738   4661.0   0.249   3.962   2.046   -0.0123       6.696   0.2341    0.4952   0.8825    0.4186     0.1538    
  1.4    6.433773   4663.0   0.242   3.97    2.027   -0.0132       6.699   0.2515    0.509    0.8839    0.4168     0.1573    
  1.4    6.440251   4664.0   0.239   3.974   2.018   -0.0132       6.701   0.2601    0.5227   0.8902    0.4151     0.161     
  1.4    6.453129   4666.0   0.232   3.981   2.001   -0.0141       6.704   0.2775    0.532    0.8877    0.4137     0.1631    
