# Protin Maccin Bfield
2.000000000000000000e+00 4.107842579992725017e-09 1.200000000000000000e+03
7.000000000000000000e+00 5.584022063836036020e-09 1.200000000000000000e+03
8.000000000000000000e+00 1.635361586600080553e-09 1.200000000000000000e+03
7.000000000000000000e+00 1.635361586600080553e-09 1.200000000000000000e+03
3.000000000000000000e+00 4.107842579992725017e-09 7.000000000000000000e+02
2.000000000000000000e+00 5.584022063836036020e-09 7.000000000000000000e+02
1.000000000000000000e+00 1.635361586600080553e-09 7.000000000000000000e+02
6.000000000000000000e+00 1.635361586600080553e-09 7.000000000000000000e+02
8.000000000000000000e+00 4.107842579992725017e-09 2.000000000000000000e+03
3.000000000000000000e+00 5.584022063836036020e-09 2.000000000000000000e+03
6.000000000000000000e+00 1.635361586600080553e-09 2.000000000000000000e+03
4.000000000000000000e+00 1.635361586600080553e-09 2.000000000000000000e+03
5.000000000000000000e+00 4.107842579992725017e-09 5.000000000000000000e+02
6.000000000000000000e+00 5.584022063836036020e-09 5.000000000000000000e+02
1.000000000000000000e+00 1.635361586600080553e-09 5.000000000000000000e+02
6.000000000000000000e+00 1.635361586600080553e-09 5.000000000000000000e+02
